datetime	IKS200	IKS230	IKS231	IKS232	IKS233	IKS234	IKS235	IKS236	IKS237	IKS242
1/2/08	235.3	1,000	1,000	1,000	1,000	1,000	1,000	1,000	1,000	1,000
1/3/08	234.67	1,013.72	1,000.49	1,011.58	978.86	1,002.38	988.27	999.01	1,009.27	999.01
1/4/08	235.77	1,061.13	1,002.67	1,024.98	980.43	1,010.12	980.25	1,005.04	1,007.09	1,005.04
1/7/08	231	1,048.71	978.36	1,006.35	954.4	984.68	970.63	992.02	991.26	992.02
1/8/08	230.34	1,040.18	961.78	987.27	980.57	987.68	958.58	995.38	994.28	995.38
1/9/08	232.53	1,054.47	967.89	1,002.06	1,000.08	991.43	963.32	1,006.39	999.25	1,006.39
1/10/08	229.47	1,031.09	966.98	993.38	981.59	982.6	942.5	994.93	981.6	994.93
1/11/08	224.41	999.71	923.55	970.53	953.69	967.02	922.12	981.04	952.29	981.04
1/14/08	222.81	987.46	885.05	964.54	943.87	958.44	916.59	984.62	943.46	984.62
1/15/08	220.91	962.5	855.95	939.34	928.35	962.74	910.84	979.39	917.21	979.39
1/16/08	215.87	940.46	840.47	911.82	877.09	935.18	901.31	960.72	902.73	960.72
1/17/08	218.83	916.2	843.59	908.74	871.84	964.04	936.56	968.54	908.31	968.54
1/18/08	219.87	910.78	845.21	901.74	870.61	973.51	958.61	969.25	922.43	969.25
1/21/08	213.6	837.57	786.68	883.19	822.12	948.58	940	956.22	909.74	956.22
1/22/08	204.55	777.17	744.57	836.05	770.89	919.94	897.26	931.24	884.17	931.24
1/23/08	207.23	789.9	762.77	862.98	771.22	936.03	902.37	934.55	897.86	934.55
1/24/08	211.2	823.14	804.78	875.32	809.2	965	909.82	923.68	912.54	923.68
1/25/08	215.06	858.36	835.18	909.93	835.76	977.27	901.67	936.32	929.51	936.32
1/28/08	206.52	811.9	785.97	871.9	780.46	936.04	865.29	926.63	900.93	926.63
1/29/08	208.8	796.15	761.96	881.23	772.49	959.1	879.4	946.36	914.47	946.36
1/30/08	203.5	727.08	689.05	851.05	729.16	949.93	860.14	946.02	893.8	946.02
1/31/08	207.77	742.93	710.71	851.63	761.48	960.88	877	952.05	898.6	952.05
2/1/08	209.08	757.46	741.37	863.41	788.75	952.5	881.02	951.88	897.97	951.88
2/4/08	216.23	832.4	796.58	908.11	829.49	983.26	897.9	949.32	913.35	949.32
2/5/08	216.91	853.95	808.02	900.58	828.5	994.98	904.68	948.69	917.72	948.69
2/11/08	208.92	814.75	780.45	872.65	794.06	966.06	863.49	924.85	895.06	924.85
2/12/08	209.01	821.45	796.63	882.19	792.29	968.85	857.88	922.29	894.98	922.29
2/13/08	207.56	807.58	802.67	873.12	782.41	965.07	845.81	917.23	878.65	917.23
2/14/08	216.2	860.79	842.08	904.99	848.84	1,002.17	880.43	935.68	905.68	935.68
2/15/08	215.38	875.73	859.37	907.58	855.33	1,003.95	863.01	916.48	905.88	916.48
2/18/08	215.46	897.12	859.07	908.81	864.45	992.68	868.79	916.28	905.13	916.28
2/19/08	218.37	915.34	882.84	914.75	879.5	1,004.60	881.85	919.27	911.32	919.27
2/20/08	213.84	898.53	853.27	900.71	856.4	981.9	860.42	908.88	897.92	908.88
2/21/08	216.38	911.87	846.76	906.96	874.83	1,000.43	873.79	920.17	897.48	920.17
2/22/08	213.73	907.9	838.59	890.45	861.53	996.6	861.96	910.93	891.29	910.93
2/25/08	217.07	915.3	852.8	915.71	873.84	1,011.05	879.15	925.8	895.36	925.8
2/26/08	217.22	909.3	849.85	930.52	902.46	1,002.06	881.55	917.73	881.8	917.73
2/27/08	218.87	914.06	864.03	931.43	908.23	1,017.80	880.69	914.33	891.98	914.33
2/28/08	220.59	930.88	883.78	939.73	922.33	1,029.99	883.89	908.99	900.57	908.99
2/29/08	216.85	923.86	871.79	927.75	914.17	1,009.81	866.27	901.07	889.96	901.07
3/3/08	211.73	889.93	842.66	907.28	886.68	983.38	850.78	887.64	873.82	887.64
3/4/08	212.14	885.22	852.93	914.85	887.75	1,001.65	836.83	890.12	870.31	890.12
3/5/08	212.14	875.74	852.6	917.4	873.11	1,026.76	827	887.58	869.05	887.58
3/6/08	214.92	889.39	872.3	935.97	873.55	1,046.05	841.36	895.06	881.84	895.06
3/7/08	210.57	855.59	843.35	920.73	860.81	1,032.62	822.85	878.65	870.3	878.65
3/10/08	206.29	812.12	793.95	895.91	828.18	1,016.57	810.55	875.11	858.81	875.11
3/11/08	208.06	828.49	803.63	872.24	843.31	1,044.51	816.67	879.52	881.56	879.52
3/12/08	210.49	843.24	810.48	882.9	844.9	1,052.04	836.29	884.63	888.54	884.63
3/13/08	204.42	819.9	772.78	857.37	819.19	1,018.62	820.72	862.03	874.93	862.03
3/14/08	202.63	795.29	748.86	830.2	797.83	1,026.79	817.01	865.73	891.67	865.73
3/17/08	199.68	756.18	731.37	813.15	780.13	1,031.36	792.91	857.52	888.77	857.52
3/18/08	201.79	751.45	744.63	830.73	794.45	1,052.12	774.96	865.69	898.13	865.69
3/19/08	206.48	790.3	773.08	847.36	811.94	1,073.29	784.74	870.62	907.88	870.62
3/20/08	206.62	787.01	771.34	823.96	812.78	1,085.92	781.93	868.9	918.15	868.9
3/21/08	209.69	823.42	786.43	832.71	816.46	1,082.45	820.17	871.18	922.61	871.18
3/24/08	211	838.67	800.09	840.81	830.22	1,072.93	839.65	866.48	925.27	866.48
3/25/08	213.73	868.63	816.05	853.3	806.38	1,074.12	858.05	874.81	935.5	874.81
3/26/08	214.41	875.48	825.64	855.91	809.54	1,074.01	856.63	877.31	941.36	877.31
3/27/08	213.85	864.01	820.66	846.35	813.47	1,084.13	852.7	877.22	952.38	877.22
3/28/08	217.22	891.59	834.26	852.38	823.41	1,115.93	862.11	886.7	970.01	886.7
3/31/08	217.65	890.06	837.07	853.53	826.22	1,121.05	855.79	888.69	968.45	888.69
4/1/08	217.81	873.05	831.21	849.65	810.27	1,129.48	875.36	881.06	965.78	881.06
4/2/08	223.76	885.99	843.01	856.49	815.64	1,153.61	941.7	887.11	981	887.11
4/3/08	226.99	893.68	866.12	887.61	833.71	1,165.49	950.9	891.28	982.36	891.28
4/4/08	226.95	900.33	887.93	901.49	847.26	1,157.15	940.1	890.71	973.28	890.71
4/7/08	227.79	910.4	907.08	910.13	859.77	1,156.25	924.3	904.72	980.82	904.72
4/8/08	225.1	894.74	893.79	896.43	857.27	1,142.93	912.31	900.63	968.65	900.63
4/10/08	226.44	894.44	874.04	900.62	858.88	1,156.84	929.31	907.84	986.25	907.84
4/11/08	228.8	887.09	876.16	897.73	863.19	1,173.21	939.64	911.4	1,003.88	911.4
4/14/08	224.54	845.67	845.41	860.1	845.68	1,156.88	930.19	904.46	1,003.16	904.46
4/15/08	223.51	851.99	840.87	861.11	848.32	1,124.55	941.66	912.58	1,000.60	912.58
4/16/08	225.36	868.62	852.86	870.86	881.15	1,126.38	946.78	921.83	1,005.58	921.83
4/17/08	226.98	866.49	850.5	878.84	892.34	1,143.41	958.76	923.13	1,015.71	923.13
4/18/08	227.25	865.15	834	888.97	902.58	1,168.01	946.5	917.12	1,026.51	917.12
4/21/08	231.11	888.19	868.5	905.36	910.5	1,201.80	950.27	915.24	1,050.52	915.24
4/22/08	229.22	885.57	871.61	897.23	898.81	1,192.19	928.47	913.54	1,031	913.54
4/23/08	230.56	892.83	897.9	931.24	919.32	1,173.49	935.08	925.53	1,022.94	925.53
4/24/08	230.77	873.81	895.55	930.69	916.02	1,177	940.31	930.67	1,009.10	930.67
4/25/08	234.56	860.01	896.39	929.9	912.33	1,205.84	968.19	945.25	1,032.78	945.25
4/28/08	234.97	855.85	885.04	918.11	895.01	1,210.26	977.88	939.28	1,033.58	939.28
4/29/08	233.24	846.32	856.94	918.56	889.67	1,205.82	972.45	937.38	1,033.89	937.38
4/30/08	235	842.95	860.84	926.43	903.79	1,219.76	979.25	945.98	1,046.55	945.98
5/2/08	238.18	846.59	888.17	931.21	907.34	1,231.21	999.26	951.98	1,056.74	951.98
5/6/08	239.53	830.37	894.42	962.52	905.53	1,258.23	980.78	958.73	1,057.51	958.73
5/7/08	238.66	827.63	891.52	963.66	897.24	1,250.40	973.02	953.68	1,064.15	953.68
5/8/08	237.37	825.6	890.81	982.12	897.96	1,256.22	946.47	945.29	1,063.41	945.29
5/9/08	233.98	808.55	897.58	978.61	878.69	1,220.07	931.45	934.4	1,042.43	934.4
5/13/08	237.02	820.06	880.67	1,005.24	881.83	1,245.98	938.5	942.33	1,052.78	942.33
5/14/08	237.04	815.92	880.59	1,014.63	890.84	1,253.62	937.36	933.85	1,052.25	933.85
5/15/08	243.11	841.02	895.31	1,044.01	905.34	1,301.76	952.93	946.88	1,073.71	946.88
5/16/08	243.54	853.1	920.85	1,048.83	905.25	1,272.88	952.77	956.76	1,070.79	956.76
5/19/08	242.67	854.44	960.51	1,054.69	924.16	1,229.55	953.53	960.35	1,064.05	960.35
5/20/08	240.62	857.3	958.64	1,046.38	935.07	1,215.31	941.02	950.73	1,053.17	950.73
5/21/08	237.15	839.23	945.75	1,007.85	928.01	1,220.33	910.94	943.72	1,038.62	943.72
5/22/08	235.31	828.19	940.06	997.78	920.63	1,218.44	902.31	933.5	1,035.84	933.5
5/23/08	234.14	830.87	923.06	1,006.69	916.47	1,197.90	906.71	929.99	1,029.56	929.99
5/26/08	230.43	835.43	899.62	993.33	902.9	1,164.68	903.54	922.74	1,013.79	922.74
5/27/08	233.97	847.2	908.65	1,000.12	934.73	1,181.85	908.82	937.82	1,014.80	937.82
5/28/08	231.17	841.48	906.77	972.2	910.74	1,160.94	900.45	935.3	1,004.76	935.3
5/29/08	236.39	848.83	923.56	987.77	922.73	1,202.55	910.19	941.91	1,026.98	941.91
